language,predicate,English translation,predicate class,veridicality,conjoined with negation,conjoined with complement,projection through negation,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity,P-to-Q distributivity
Greek,protino,propose,directive,neither,neither,neither,neither,0,compatible,compatible,compatible,compatible,compatible,typically,always,incompatible,incompatible,1,0,typically belief,,0,1,1
Greek,protimo,prefer,bouletic,neither,neither,neither,neither,typically neg-raising,compatible,compatible,compatible,incompatible,incompatible,always,always,incompatible,incompatible,1,0,,,,,
Greek,rotao,ask,inquisitive,,,,,,,,,,,,,,,,,typically ignorance,0,,,
Greek,simfono,agree with X [stative: to be in agreement (rather than to reach agreement)],doxastic,neither,neither,neither,neither,0,always,incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,0,1,typically belief,0,0,1,1
Greek,ipotheto,assume,doxastic,neither,neither,neither,neither,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,0,0,typically belief,0,0,1,1
Greek,ipopsiazome,suspect,doxastic,neither,neither,neither,neither,0,always,incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,0,1,typically belief,0,0,1,1
Greek,fovame,fear,bouletic: negative,neither,neither,neither,neither,0,typically,compatible,compatible,incompatible,incompatible,always,incompatible,always,incompatible,1,1,neither,1,0,0,1
Greek,herome,be happy,emotive factive,veridical,contradictory,redundant,projective,0,always,incompatible,incompatible,always,incompatible,incompatible,always,incompatible,incompatible,1,1,belief,1,1,1,1
Greek,psithirizo,whisper,communication: manner of saying,neither,neither,neither,neither,0,compatible,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,0,0,typically belief,0,0,1,1
Greek,ipostirizo,argue,commincation,neither,neither,neither,neither,0,typically,compatible,compatible,typically,compatible,compatible,typically,compatible,compatible,0,0,typically belief,0,0,,
Greek,ime perierghos,be curious,inquisitive ,,,,,,,,,,,,,,,,,ignorance,1,,,
