language,predicate,English translation,predicate class,veridicality,conjoined with negation,conjoined with complement,projection through negation,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity,P-to-Q distributivity
Polish,myśleć,think,doxastic,neither,neither,neither,neither,1,always,incompatible,incompatible,compatible,incompatible,compatible,compatible,compatible,compatible,0,0,,,,,
Polish,mieć rację,be right ,doxastic evaluative,veridical,contradictory,redundant,reversal,undecided,always,incompatible,incompatible,compatible,incompatible,compatible,compatible,compatible,compatible,0,0,belief,0,1,1,1
Polish,mylić się,be wrong,doxastic evaluative,anti-veridical,redundant,contradictory,projective,undecided,always,incompatible,incompatible,compatible,incompatible,compatible,compatible,compatible,compatible,1,1,belief,1,0,1,1
Polish,zapomninać,forget,doxastic: change of state,veridical,contradictory,redundant,projective,0,incompatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,1,0,neither,0,1,1,1
Polish,dowiedzieć się,learn,doxastic: change of state,neither,neither,neither,neither,0,typically,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,1,0,belief,0,1,1,0
Polish,wątpić,doubt,dubitative,neither,neither,neither,neither,0,incompatible,always,incompatible,incompatible,compatible,typically,compatible,compatible,compatible,1,0,,,,,
Polish,być zadowolonym,be happy,emotive factive,veridical,contradictory,redundant,projective,0,always,incompatible,incompatible,always,incompatible,incompatible,always,incompatible,incompatible,1,1,belief,1,1,1,1
Polish,być zaskoczonym,be surprised,emotive factive,veridical,contradictory,redundant,projective,0,always,incompatible,incompatible,always,incompatible,incompatible,always,incompatible,incompatible,1,1,belief,1,1,1,1
Polish,żałować,regret,emotive factive,veridical,contradictory,redundant,projective,0,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,1,1,,,,,
Polish,pytać,ask,inquisitive,,,,,,,,,,,,,,,,,neither,0,,,
Polish,być ciekawym,be curious,inquisitive,,,,,,,,,,,,,,,,,ignorance,1,,,
Polish,dociekać,inquire,inquisitive,,,,,,,,,,,,,,,,,ignorance,0,,,
Polish,badać,investigate,inquisitive,,,,,,,,,,,,,,,,,ignorance,0,,,
Polish,zastanawiać się,wonder,inquisitive,,,,,,,,,,,,,,,,,ignorance,0,,,
Polish,widzieć,see,perception,veridical,contradictory,redundant,projective,0,typically,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,0,0,neither,0,1,1,1
Polish,obchodzić,care,predicates of relevance,veridical,contradictory,redundant,projective,0,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,incompatible,1,1,neither,1,0,0,1
Polish,udowodnić,prove,ratification,veridical,contradictory,redundant,neither,0,typically,compatible,compatible,typically,incompatible,compatible,compatible,compatible,compatible,1,0,belief,0,1,1,1
