language,predicate,English translation,predicate class,veridicality,conjoined with negation,conjoined with complement,projection through negation,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity,P-to-Q distributivity
japanese,認める mitome-ru,accept,assessment,neither,neither,neither,neither,0,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,1,0,,,,,
japanese,否定する hitee suru,deny,assessment,neither,neither,neither,neither,0,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,1,0,,,,,
japanese,望む nozom-u,hope,bouletic,neither,neither,neither,neither,0,compatible,compatible,compatible,compatible,compatible,compatible,always,incompatible,incompatible,1,undecided,,,,,
japanese,祈る inor-u,pray,bouletic,neither,neither,neither,neither,0,compatible,compatible,compatible,compatible,compatible,compatible,always,incompatible,incompatible,1,0,,,,,
japanese,好む konom-u,prefer,bouletic,typically veridical,neither,neither,typically projective,0,always,incompatible,incompatible,always,incompatible,incompatible,always,incompatible,incompatible,1,1,,,,,
japanese,たい -tai / 欲しい hosi-i,want,bouletic,neither,neither,neither,neither,typically neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,always,incompatible,incompatible,1,1,,,,,
japanese,心配する sinpai suru,be worried,bouletic: negative,neither,neither,neither,neither,0,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,1,1,neither,1,0,0,1
japanese,恐れる osore-ru,fear,bouletic: negative,neither,neither,neither,neither,0,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,1,1,,,,,
japanese,発表する happyoo suru,announce,communication,neither,neither,neither,neither,0,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,1,0,neither,0,0,1,1
japanese,論じる ronzi-ru,argue,communication,neither,neither,neither,neither,0,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,1,0,neither,0,0,1,1
japanese,断言する dangen suru,assert,communication,neither,neither,neither,neither,0,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,0,0,neither,0,0,1,1
japanese,主張する syutyoo suru,claim,communication,neither,neither,neither,neither,0,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,1,0,neither,0,0,1,1
japanese,文句を言う monku-o i-u,complain,communication,neither,neither,neither,neither,0,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,1,0,neither,0,0,1,1
