language,predicate,English translation,predicate class,veridicality,conjoined with negation,conjoined with complement,projection through negation,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity,P-to-Q distributivity
hebrew,laxʃóv,think,doxastic,neither,neither,neither,neither,0,always,incompatible,incompatible,compatible,incompatible,compatible,compatible,compatible,compatible,0,0,neither,0,0,0,1
hebrew,ʦodék,be right ,doxastic evaluative,veridical,contradictory,redundant,reversal,0,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,0,1,belief,1,1,1,1
hebrew,litʔót,be wrong,doxastic evaluative,anti-veridical,redundant,contradictory,projective,0,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,1,1,belief,1,0,1,1
hebrew,liʃkóax,forget,doxastic: change of state,veridical,contradictory,redundant,projective,0,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,1,1,neither,1,1,1,1
hebrew,lilmód,learn,doxastic: change of state,typically veridical,neither,neither,neither,0,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,0,0,belief,0,1,1,0
hebrew,safék,doubt,dubitative,neither,neither,neither,neither,1,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,compatible,compatible,1,1,ignorance,1,0,0,0
hebrew,saméax,be happy,emotive factive,typically veridical,neither,neither,projective,0,always,incompatible,incompatible,always,incompatible,incompatible,always,incompatible,incompatible,1,1,belief,1,1,1,0
hebrew,muftá,be surprised,emotive factive,typically veridical,neither,neither,projective,0,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,1,1,belief,1,1,0,0
hebrew,lehitxarét (something the subject did),regret,emotive factive,veridical,contradictory,redundant,projective,0,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,1,1,belief,1,1,1,1
hebrew,liʃʔól,ask,inquisitive,,,,,,,,,,,,,,,,,typically ignorance,0,,,
hebrew,sakrán,be curious,inquisitive,,,,,,,,,,,,,,,,,ignorance,1,,,
hebrew,same as ask,inquire,inquisitive,,,,,,,,,,,,,,,,,typically ignorance,0,,,
hebrew,laxkór,investigate,inquisitive,,,,,,,,,,,,,,,,,ignorance,0,,,
hebrew,lithót,wonder,inquisitive,,,,,,,,,,,,,,,,,ignorance,1,,,
hebrew,lirʔót,see,perception,typically veridical,neither,neither,neither,0,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,0,0,typically belief,0,1,1,0
hebrew,ixpát,care,predicates of relevance,veridical,contradictory,redundant,projective,0,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,1,1,neither,1,0,1,0
hebrew,lehoxíax,prove,ratification,veridical,contradictory,redundant,neither,0,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,0,0,typically belief,0,1,1,1
