language,predicate,English translation,predicate class,veridicality,conjoined with negation,conjoined with complement,projection through negation,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity,P-to-Q distributivity
turkish,farkinda ol,be aware,,veridical,contradictory,redundant,typically projective,0,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,0,1,belief,1,1,1,1
turkish,farkinda olma-,be uN/Aware,doxastic,typically veridical,contradictory,neither,projective,undecided,incompatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,1,1,typically ignorance,1,1,1,0
turkish,san-,believe 1 (think),doxastic,typically anti-veridical,neither,neither,neither,1,always,incompatible,incompatible,compatible,incompatible,compatible,compatible,compatible,compatible,0,0,,,,,
turkish,iN/An-,believe 2 (trust),doxastic,neither,neither,neither,typically projective,0,always,incompatible,incompatible,compatible,incompatible,compatible,compatible,compatible,compatible,0,1,belief,1,1,1,0
turkish,bekle-,expect,doxastic,neither,neither,neither,neither,1,always,incompatible,incompatible,compatible,incompatible,typically,compatible,compatible,compatible,0,0,,,,,
turkish,bil- + nomiN/Alization,know,doxastic,typically veridical,neither,neither,typically projective,0,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,0,0,belief,0,1,1,0
turkish,bil- + diye clause,know,doxastic,neither,neither,neither,neither,0,always,incompatible,incompatible,compatible,incompatible,compatible,compatible,compatible,compatible,0,0,,,,,
turkish,şüphelen-,suspect,doxastic,neither,neither,neither,typically projective,0,always,incompatible,incompatible,incompatible,incompatible,always,compatible,compatible,compatible,1,1,,,,,
turkish,düşün-,think,doxastic evaluative,neither,neither,neither,neither,typically neg-raising,always,incompatible,incompatible,compatible,incompatible,compatible,compatible,compatible,compatible,0,0,ignorance,0,0,0,0
turkish,haklı ol-,be right ,doxastic evaluative,veridical,contradictory,neither,typically reversal,0,always,incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,0,undecided,belief,undecided,1,1,1
turkish,yanıl-,be wrong,doxastic: change of state,anti-veridical,neither,contradictory,typically projective,0,always,incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,1,undecided,belief,undecided,0,1,1
