language,predicate,English translation,predicate class,veridicality,conjoined with negation,conjoined with complement,projection through negation,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity,P-to-Q distributivity
german,lernen,learn,doxastic: change of state,neither,neither,neither,typically projective,0,typically,compatible,incompatible,typically,compatible,compatible,compatible,compatible,compatible,1,0,typically belief,0,0,1,1
german,bezweifeln,doubt,dubitative,neither,neither,neither,neither,0,incompatible,always,incompatible,incompatible,typically,compatible,compatible,compatible,compatible,0,1,,,,,
german,sich freuen,be happy,emotive factive,typically veridical,,,,,,,,,,,,,,,,,,,,
german,überrascht sein,be surprised,emotive factive,typically veridical,,,,,,,,,,,,,,,,,,,,
german,bereuen,regret,emotive factive,typically veridical,,,,,,,,,,,,,,,,,,,,
german,fragen,ask,inquisitive,,,,,,,,,,,,,,,,,neither,0,,,
german,sich erkundigen,inquire,inquisitive,,,,,,,,,,,,,,,,,typically ignorance,0,,,
german,untersuchen,investigate,inquisitive,,,,,,,,,,,,,,,,,typically ignorance,0,,,
german,sich fragen,wonder,inquisitive,,,,,,,,,,,,,,,,,ignorance,0,,,
german,sehen,see,perception,typically veridical,contradictory,redundant,typically projective,0,typically,compatible,incompatible,typically,compatible,incompatible,compatible,compatible,compatible,1,0,belief,0,1,1,1
german,etw. an etw. merken,notice realize feel,perception/cognition,typically veridical,contradictory,typically redundant,projective,0,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,1,undecided,belief,undecided,1,1,1
