language,predicate,English translation,predicate class,veridicality,conjoined with negation,conjoined with complement,projection through negation,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity,P-to-Q distributivity
Mandarin Chinese,zhidao,know,doxastic,veridical,contradictory,redundant,projective,0,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,0,1,belief,1,1,1,1
Mandarin Chinese,huaiyi,suspect,doxastic,neither,neither,neither,neither,0,typically,compatible,compatible,incompatible,incompatible,always,compatible,compatible,compatible,1,1,,,,,
Mandarin Chinese,renwei,think,doxastic,neither,neither,neither,neither,0,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,0,undecided,,,,,
Mandarin Chinese,wangji,forget,doxastic: change of state,veridical,contradictory,redundant,typically projective,0,compatible,compatible,compatible,incompatible,compatible,typically,compatible,compatible,compatible,1,0,typically ignorance,0,1,1,1
Mandarin Chinese,dezih,learn,doxastic: change of state,neither,neither,neither,neither,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,0,0,typically belief,0,0,1,1
Mandarin Chinese,gaoxing,be happy,emotive factive,typically veridical,neither,neither,typically projective,0,always,incompatible,incompatible,always,incompatible,incompatible,always,incompatible,incompatible,1,1,,,,,
Mandarin Chinese,jingya,be surprised,emotive factive,typically veridical,neither,neither,typically projective,0,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,1,1,,,,,
Mandarin Chinese,houhui,regret,emotive factive,typically veridical,neither,neither,typically projective,0,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,1,1,,,,,
Mandarin Chinese,wen,ask,inquisitive,,,,,,,,,,,,,,,,,typically ignorance,0,,,
Mandarin Chinese,haoqi,be curious,inquisitive,,,,,,,,,,,,,,,,,ignorance,1,,,
Mandarin Chinese,xunwen,inquire,inquisitive,,,,,,,,,,,,,,,,,ignorance,0,,,
Mandarin Chinese,diaocha,investigate,inquisitive,,,,,,,,,,,,,,,,,typically ignorance,0,,,
Mandarin Chinese,xiangzhidao,wonder,inquisitive,,,,,,,,,,,,,,,,,ignorance,complex-predicate,,,
Mandarin Chinese,kanjian,see,perception,typically veridical,neither,neither,neither,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,0,0,typically belief,0,0,1,1
Mandarin Chinese,guanxin,care,predicates of relevance,,,,,,,,,,,,,,,,,ignorance,1,,,
Mandarin Chinese,zhengming,prove,ratification,neither,neither,neither,neither,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,0,0,typically belief,0,0,1,1
