language,predicate,English translation,predicate class,veridicality,conjoined with negation,conjoined with complement,projection through negation,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity,P-to-Q distributivity
spanish,tener razón,be right ,doxastic evaluative,veridical,contradictory,redundant,reversal,undecided,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,1,1,belief,undecided,1,1,1
spanish,equivocarse (en),be wrong,doxastic evaluative,anti-veridical,redundant,contradictory,projective,undecided,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,1,undecided,typically belief,1,0,1,1
spanish,olvidarse (de),forget,doxastic: change of state,veridical,contradictory,redundant,projective,0,compatible,compatible,compatible,incompatible,compatible,typically,compatible,compatible,compatible,1,0,neither,0,1,1,1
spanish,aprender,learn,doxastic: change of state,typically veridical,contradictory,redundant,typically projective,0,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,1,0,belief,0,0,1,1
spanish,dudar,doubt,dubitative,neither,neither,neither,neither,1,incompatible,typically,compatible,incompatible,typically,compatible,compatible,compatible,compatible,1,1,neither,1,0,0,0
spanish,estar contento (con),be happy,emotive factive,veridical,contradictory,redundant,typically projective,0,always,incompatible,incompatible,always,incompatible,incompatible,always,incompatible,incompatible,1,1,belief,1,1,1,1
spanish,estar sorprendido,be surprised,emotive factive,veridical,contradictory,redundant,typically projective,0,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,1,1,belief,1,1,1,1
spanish,lamentar,regret,emotive factive,veridical,contradictory,redundant,typically projective,0,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,1,1,belief,0,1,1,1
spanish,preguntar,ask,inquisitive,,,,,,,,,,,,,,,,,typically ignorance,0,,,
spanish,tener curiosidad (por),be curious,inquisitive,typically veridical,neither,neither,typically projective,0,typically,incompatible,compatible,typically,incompatible,compatible,compatible,compatible,compatible,0,1,ignorance,1,0,0,0
