language,predicate,English translation,predicate class,veridicality,conjoined with negation,conjoined with complement,projection through negation,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity,P-to-Q distributivity
Kîîtharaka,kena,be happy,emotive factive,typically veridical,neither,neither,typically projective,0,always,incompatible,incompatible,always,incompatible,incompatible,always,incompatible,incompatible,1,1,belief,1,0,1,1
Kîîtharaka,rigara,be surprised,emotive factive,typically veridical,neither,redundant,typically projective,0,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,typically,1,1,belief,1,0,1,1
Kîîtharaka,kwîrira,regret,emotive factive,typically veridical,neither,redundant,typically projective,0,typically,incompatible,compatible,typically,incompatible,compatible,incompatible,always,incompatible,1,1,belief,1,0,1,1
Kîîtharaka,ûria,ask,inquisitive,,,,,,,,,,,,,,,,,typically ignorance,0,,,
Kîîtharaka,,be curious,inguisitive,,,,,,,,,,,,,,,,,,,,,
Kîîtharaka,ûrithîria,inquire,inguisitive,,,,,,,,,,,,,,,,,typically ignorance,1,,,
Kîîtharaka,cûnkûûna,investigate,inguisitive,,,,,,,,,,,,,,,,,typically ignorance,1,,,
Kîîtharaka,rigara,wonder,inquisitive,,,,,,,,,,,,,,,,,ignorance,1,,,
Kîîtharaka,ona,see,perception,typically veridical,neither,neither,typically projective,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,typically,0,1,typically belief,0,0,1,1
Kîîtharaka,menyeera,care,predicate of relevance,typically veridical,neither,neither,neither,0,typically,compatible,compatible,compatible,compatible,typically,always,incompatible,incompatible,1,1,typically belief,1,0,0,1
Kîîtharaka,onania,prove,ratification,typically veridical,neither,neither,typically projective,0,typically,compatible,compatible,typically,compatible,compatible,typically,compatible,compatible,0,1,typically belief,1,0,1,1
