consultant_id,Predicate,English translation,Predicate class,veridicality/anti-veridicality wrt declaratives,conjoined with negation of the comp,conjoined with the complement,complement projection/reversion through negation,neg-raising,Likelihood,Unlikelihood,Equal likelihood,Certainty,Counter-certainty,Uncertainty,Preference,Opposition,Indifference,focus sensitivity wrt decl,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity ,P-to-Q distributivity ,Finite declarative with subordinate clause syntax indicative mood,Finite declarative with subordinate clause syntax Konjunktiv I (present subjunctive),Finite declarative with subordinate clause syntax Konjunktiv II (past subjunctive),Finite declarative with main clause syntax Konjunktiv I (present subjunctive),Non-finite declarative clause without subject,Concealed statement (CS),Plain accusative DP (without preposition),Intransitive use,Concealed question,Finite non-d-linked constituent interrogative clause indicative mood,Finite non-d-linked constituent interrogative clause Konjunktiv I (present subjunctive),Finite non-d-linked constituent interrogative clause Konjunktiv II (past subjunctive),Finite d-linked constituent interrogative clause indicative mood,Finite d-linked constituent interrogative clause Konjunktiv I (present subjunctive),Finite d-linked constituent interrogative clause Konjunktiv II (past subjunctive),Finite polar interrogative clause indicative mood,Finite polar interrogative clause Konjunktiv I (present subjunctive),Finite polar interrogative clause Konjunktiv II (past subjunctive),Finite alternative interrogative clause indicative mood,Finite alternative interrogative clause Konjunktiv I (present subjunctive),Finite alternative interrogative clause Konjunktiv II (past subjunctive)
deu1,akzeptiren,accept,assessment,typically veridical,typically contradictory,typically redundant,can be projective,non-neg-raising,typically,compatible,compatible,typically,incompatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,N/A,N/A,N/A,N/A,N/A,1,0,1,0,0,1,1,no,,,,,,,,,,,,,
deu1,abstreiten,deny,assessment,typically anti-veridical,typically redundant,neither,typically projective,non-neg-raising,compatible,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,N/A,N/A,N/A,N/A,N/A,1,0,1,0,1,1,1,no,,,,,,,,,,,,,
deu1,hoffen,hope,bouletic,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,incompatible,incompatible,always,always,incompatible,incompatible,focus sensitive,gradable,N/A,N/A,N/A,N/A,N/A,1,0,1,0,1,0,0,no,,,,,,,,,,,,,
deu1,beten,pray,bouletic,neither,neither,neither,neither,non-neg-raising,compatible,typically,compatible,incompatible,incompatible,always,always,incompatible,incompatible,focus sensitive,non-gradable,N/A,N/A,N/A,N/A,N/A,1,0,0,0,0,0,0,yes,,,,,,,,,,,,,
deu1,bevorzugen,prefer,bouletic,neither,neither,neither,neither,typically neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,always,incompatible,incompatible,focus sensitive,non-gradable,N/A,N/A,N/A,N/A,N/A,1,0,0,0,1,1,1,no,,,,,,,,,,,,,
deu1,wollen,want ,bouletic,neither,neither,neither,neither,always neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,always,incompatible,incompatible,focus sensitive,gradable,N/A,N/A,N/A,N/A,N/A,1,0,0,0,0,1,1,no,,,,,,,,,,,,,
deu1,sich sorgen,be worried,bouletic: negative,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,incompatible,incompatible,always,incompatible,always,incompatible,focus sensitive,gradable,N/A,N/A,N/A,N/A,N/A,1,0,1,0,0,0,0,no,,,,,,,,,,,,,
deu1,fürchten,fear,bouletic: negative,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,incompatible,incompatible,always,incompatible,always,incompatible,focus sensitive,gradable,N/A,N/A,N/A,N/A,N/A,1,0,1,0,1,1,1,no,,,,,,,,,,,,,
deu1,verkünden,announce,communication,can be veridical,neither,neither,can be projective,non-neg-raising,typically,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,can be focus sensitive,non-gradable,neutral,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,1,0,1,0,0,1,0,no,1,1,0,1,1,0,1,1,0,1,1,0,1
deu1,darlegen,argue,communication,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,neutral,non-gradable,neither,typically Q-to-P distributive,always P-to-Q distributive,1,1,1,0,0,1,0,no,1,1,1,1,1,1,1,1,1,1,1,1,1
deu1,sagen,say,communication,can be veridical,neither,neither,can be projective,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,neutral,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,1,1,1,1,0,0,0,no,,1,0,1,1,0,1,1,0,1,1,0,1
deu1,behaupten,claim,communication,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,N/A,N/A,N/A,N/A,N/A,1,0,1,1,1,0,0,no,,,,,,,,,,,,,
deu1,sich beschweren,complain,communication,typically veridical,neither,redundant,typically projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,focus sensitive,gradable,N/A,N/A,N/A,N/A,N/A,1,0,0,0,0,0,0,no,,,,,,,,,,,,,
deu1,erklären (explain),explain,communication,can be veridical,contradictory,redundant,can be projective or reversive,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,typically belief-implying ,non-gradable,neither,not Q-to-P distributive,typically P-to-Q distributive,1,0,1,0,0,0,1,no ,1,1,0,1,1,0,1,1,0,1,1,0,1
deu1,jemandem etwas mitteilen,inform sb. about sth.,communication,typically veridical,contradictory,redundant,typically projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus sensitive,non-gradable,always belief-implying ,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,1,0,1,0,0,0,0,no,1,1,0,1,1,0,1,1,0,1,1,0,1
deu1,erzählen,tell ,communication,typically veridical,neither,typically redundant,can be projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,neutral,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,1,0,1,1,0,0,1,no,0,1,0,1,1,0,1,1,0,1,1,0,1
deu1,flüstern,whisper,communication: manner of saying,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-,-,-,-,-,-
deu1,schreiben,write,communication: manner of saying,typically veridical,neither,redundant,typically projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,neutral,non-gradable,,,,1,1,1,1,0,0,1,yes,0,1,0,1,1,0,1,1,0,1,1,0,1
deu1,entscheiden,decide,decision,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,compatible,incompatible,compatible,typically,compatible?,compatible,focus sensitive,non-gradable,neutral,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,1,0,0,0,1,1,0,no,0,1,0,1,1,0,1,1,0,1,1,0,1
deu1,verlangen,demand,directive,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,typically,compatible,compatible,focus sensitive,non-gradable,N/A,N/A,N/A,N/A,N/A,1,0,0,0,1,1,1,no,,,,,,,,,,,,,
deu1,anordnen,order,directive,neither,?contradictory,?redundant,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,typically,compatible,compatible,focus sensitive,non-gradable,typically belief-implying,non-gradable,neither,typically Q-to-P distributive,always P-to-Q distributive,1,0,0,0,0,1,1,no,0,1,0,0,1,0,0,1,0,0,0,0,0
deu1,vorschlagen,propose,directive,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,1,0,no,,,,,,,,,,,,,
deu1,mit jemandem übereineinstimmen,agree with someone (indirect object) [stative: to be in agreement (rather than to reach agreement)],doxastic,neither,neither,neither,neither,undecided,always,incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,always belief-implying,non-gradable*,neither,always Q-to-P distributive,always P-to-Q distributive,1,1,1,0,0,0,0,no,0,1,0,1,1,0,1,0,0,0,1,0,1
deu1,annehmen,assume,doxastic,neither,neither,neither,neither,non-neg-raising,typically,incompatible,compatible,incompatible,incompatible,always,compatible,compatible,compatible,not focus sensitive,non-gradable,N/A,N/A,N/A,N/A,N/A,1,0,1,0,0,0,0,no,,,,,,,,,,,,,
deu1,sich sicher sein,be certain,doxastic,neither,neither,neither,neither*,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus sensitive*,undecided,N/A,N/A,N/A,N/A,N/A,1,0,1,0,1,1,0,no,,,,,,,,,,,,,
deu1,überzeugt sein,be convinced,doxastic,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,no,,,,,,,,,,,,,
deu1,sich nicht bewusst sein,be unaware,doxastic,typically veridical,contradictory,redundant,always projective,undecided,incompatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,always ignorance-implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,typically P-to-Q distributive,1,0,1,0,0,1,0,no,1,1,0,1,1,0,1,1,0,1,1,0,1
deu1,glauben,believe,doxastic,neither,neither,neither,neither,typically neg-raising,always,incompatible,incompatible,compatible,incompatible,typically,compatible,compatible,compatible,not focus sensitive,non-gradable,N/A,N/A,N/A,N/A,N/A,1,0,1,1,1,0,1,no,,,,,,,,,,,,,
deu1,erwarten,expect,doxastic,neither,neither,neither,neither*,typically neg-raising,always,incompatible,incompatible,typically,incompatible,compatible,compatible*,compatible,compatible,focus sensitive,non-gradable,N/A,N/A,N/A,N/A,N/A,1,0,0,0,0,1,1,no,,,,,,,,,,,,,
deu1,wissen,know,doxastic,always veridical,contradictory,redundant,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not focus sensitive,non-gradable,always belief-implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,1,0,1,0,0,0,1,no,1,1,0,1,1,0,1,1,0,1,1,0,1
deu1,vermuten,suspect,doxastic,neither,neither,neither,neither (except past subjunctive:typically projective),non-neg-raising,always,incompatible,incompatible,incompatible,incompatible,always,compatible,compatible,compatible,focus sensitive,non-gradable,N/A,N/A,N/A,N/A,N/A,,,,,,,,no,,,,,,,,,,,,,
deu1,denken,think,doxastic,neither,neither,},neither,can be neg-raising,always,incompatible,incompatible,compatible,incompatible,typically,compatible,compatible,compatible,not focus sensitive,non-gradable,N/A,N/A,N/A,N/A,N/A,,,,,,,,no,,,,,,,,,,,,,
deu1,darüber nachdenken,thinking about,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deu1,recht haben,be right ,doxastic evaluative / communication verb,always veridical,contradictory,redundant,always reversive,undecided,always,incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,N/A,N/A,N/A,N/A,N/A,1,0,1,0,0,0,0,no,,,,,,,,,,,,,
deu1,falsch liegen,be wrong,doxastic evaluative,always anti-veridical,neither,contradictory,typically projective,undecided,always,incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,N/A,N/A,N/A,N/A,N/A,1,0,1,0,0,0,0,no,,,,,,,,,,,,,
deu1,vergessen,forget,doxastic: change of state,always veridical,contradictory,redundant,always projective,non-neg-raising,incompatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,always ignorance-implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,1,0,1,0,0,0,1,no,1,1,0,1,1,0,1,1,0,1,1,0,1
deu1,lernen,learn,doxastic: change of state,undecided,neither,neither,typically projective,non-neg-raising,typically,compatible,incompatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,1,0,1,0,1*,0,1,yes,1,1,0,1,1,0,1,1,0,1,1,0,1
deu1,bezweifeln,doubt,dubitative,neither,neither,neither,neither*,non-neg-raising,incompatible,always,incompatible,incompatible,typically,compatible,compatible,compatible,compatible,not focus sensitive,gradable,N/A,N/A,N/A,N/A,N/A,,,,,,,,no,,,,,,,,,,,,,
deu1,sich freuen,be happy,emotive factive,typically veridical,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
deu1,überrascht sein,be surprised,emotive factive,typically veridical,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,
deu1,bereuen,regret,emotive factive,typically veridical,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,
deu1,fragen,ask,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,neutral,non-gradable,N/A,N/A,N/A,,,,,,,,no,,,,,,,,,,,,,
deu1,neugierig sein,be curious,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,typically ignorance-implying,N/A,N/A,N/A,N/A,,,,,,,,yes,,,,,,,,,,,,,
deu1,sich erkundigen,inquire,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,typically ignorance-implying,non-gradable,N/A,N/A,N/A,,,,,,,,no,,,,,,,,,,,,,
deu1,untersuchen,investigate,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,typically ignorance-implying,non-gradable,N/A,N/A,N/A,,,,,,,,no,,,,,,,,,,,,,
deu1,sich fragen,wonder,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,always ignorance-implying,non-gradable,N/A,N/A,N/A,,,,,,,,no,,,,,,,,,,,,,
deu1,sehen,see,perception,typically veridical,contradictory,redundant,typically projective,non-neg-raising,typically,compatible,incompatible,typically,compatible,incompatible,compatible,compatible,compatible,(sometimes) focus sensitive,non-gradable,always belief-implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,,,,,,,,no,,,,,,,,,,,,,
deu1,es kümmert jemanden,sb. cares,predicates of relevance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,
deu1,beweisen,prove,ratification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,
deu1,etw. an etw. merken,notice realize feel,perception/cognition,typically veridical,contradictory,typically redundant,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus sensitive,undecided (gradable for DP-compelements),belief,undecided,always Q-to-P veridical,Q-to-P distributive,P-to-Q distributive,,,,,,,,no,,,,,,,,,,,,,
