predicate orthography,predicate transcription,English translation,predicate class,veridicality/anti-veridicality wrt declaratives,conjoined with negation of the comp,conjoined with the complement,Complement projection/reversion through negation,neg-raising,Likelihood,Unlikelihood,Equal likelihood,Certainty,Counter-certainty,Uncertainty,Preference,Opposition,Indifference,focus sensitivity wrt decl,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity ,P-to-Q distributivity ,finite declerative clause,"Finite d-linked constituent interrogative clause:
",finite non-d-linked constituent interrogative clause,finite polar interrogative clause,finite alternative interrogative clause,non-finite declarative clause without subject,non-finite d-linked constituent interrogative without subj,non-finite non-d-linked constituent interrogative without subj,non-finite polar int without subj,non-finite alt int without subj,concealed q,Intransitive use
להסביר,lehasbír,explain,communication,typically veridical,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,typically belief-implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,typically P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,having an intransitive use
ליידע,lejadéa,inform,communication,always veridical,contradictory,redundant,always projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,typically belief-implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible (with preposition),having an intransitive use
לספר,lesapér,tell ,communication,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,neutral between belief and ignorance,non-gradable,always Q-to-P veridical,always Q-to-P distributive,typically P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,incompatible (a different translation of tell is compatible),compatible,compatible,compatible,compatible,compatible,not having an intransitive use
ללחוש,lilxóʃ,whisper,communication: manner of saying,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,neutral between belief and ignorance,non-gradable,always Q-to-P veridical,always Q-to-P distributive,typically P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,having an intransitive use
לכתוב,lixtóv,write,communication: manner of saying,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,neutral between belief and ignorance,non-gradable,always Q-to-P veridical,always Q-to-P distributive,typically P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,having an intransitive use
להחליט,lehaxlít,decide 'make a decision',decision,typically veridical,neither,neither,neither,non-neg raising,compatible,compatible,compatible,compatible,compatible,compatible,typically,compatible,compatible,focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,having an intransitive use
לדרוש,lidróʃ,demand,directive,neither,neither,neither,neither,non-neg raising,compatible,compatible,compatible,compatible,compatible,compatible,typically,compatible,compatible,not focus sensitive,gradable,neutral between belief and ignorance,gradable,neither,always Q-to-P distributive,always P-to-Q distributive,compatible,compatible,compatible,incompatible,incompatible,compatible,compatible,compatible,incompatible,incompatible,compatible,not having an intransitive use
לצוות,leʦavót,order,directive,neither,neither,neither,neither,non-neg raising,compatible,compatible,compatible,compatible,compatible,compatible,typically,compatible,compatible,not focus sensitive,non-gradable,typically belief-implying,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,compatible,compatible,compatible,incompatible,incompatible,compatible,compatible,compatible,incompatible,incompatible,incompatible,not having an intransitive use
להציע,lehaʦia,propose,directive,neither,neither,neither,neither,non-neg raising,typically,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,gradable,neutral between belief and ignorance,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,compatible,compatible,compatible,incompatible,incompatible,compatible,compatible,compatible,incompatible,incompatible,compatible,having an intransitive use
להסכים,lehaskím,agree with someone (indirect object) [stative: to be in agreement (rather than to reach agreement)],doxastic,typically veridical,neither,neither,neither,non-neg raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,gradable,typically belief-implying,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible (with preposition),having an intransitive use
