language,consultantID,predicate,English translation,predicate class,veridicality/anti-veridicality wrt declaratives,conjoined with negation of the complement,conjoined with the complement,Complement projection/reversion through negation,neg-raising,Likelihood,Unlikelihood,Equal likelihood,Certainty,Counter-certainty,Uncertainty,Preference,Opposition,Indifference,focus sensitivity wrt decl,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity ,P-to-Q distributivity ,finite declerative clause: indicative,finite declerative clause: subjunctive,Finite d-linked constituent interrogative clause,finite non-d-linked constituent interrogative clause,finite polar interrogative clause,finite alternative interrogative clause,Finite non-d-linked constituent interrogative clause with main clause syntax,finite polar interrogative clause with main clause syntax,non-finite declarative clause without subject,non-finite d-linked constituent interrogative without subj,non-finite non-d-linked constituent interrogative without subj,concealed q,intransitive use
French,fra001,expliquer,explain,communication,always veridical,,redundant,always projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,undecided,always belief-implying,undecided,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,undecided,acceptable,acceptable,polarity sensitive,polarity sensitive,unacceptable,unacceptable,acceptable,acceptable,?,acceptable,unacceptable
French,fra001,informer,inform,communication,typically veridical,neither,redundant,always projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,always belief-implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,unacceptable,de required,de required,de required,unacceptable,unacceptable,unacceptable,unacceptable,de required,unacceptable,de required,unacceptable
French,fra001,dire,tell ,communication,neither,neither,neither,typically projective,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,always belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,unacceptable,acceptable,acceptable,polarity sensitive,polarity sensitive,TBC,TBC,TBC: preposition?,acceptable,acceptable,acceptable,unacceptable
French,fra001,chuchoter,whisper,communication: manner of saying,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,always belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,unacceptable,acceptable,acceptable,TBC,TBC,TBC,TBC,TBC: preposition?,acceptable,recipient required,acceptable,acceptable
French,fra001,écrire,write,communication: manner of saying,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,always belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,unacceptable,?,acceptable,polarity sensitive,polarity sensitive,TBC,TBC,acceptable,acceptable,?,acceptable,acceptable
French,fra001,décider,decide,decision,typically veridical,neither,redundant,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,always belief-implying,undecided,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,TBC,TBC,de required,acceptable,unacceptable (TBC,de required,unacceptable
French,fra001,exiger,demand,directive,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,typically,compatible,compatible,focus sensitive,non-gradable,N/A,N/A,N/A,N/A,N/A,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,de required,unacceptable,unacceptable,unacceptable,unacceptable
French,fra001,ordonner,order,directive,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,typically,compatible,compatible,focus sensitive,non-gradable,N/A,N/A,N/A,N/A,N/A,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,de required,unacceptable,unacceptable,unacceptable,unacceptable
French,fra001,proposer,propose,directive,neither,neither,neither,neither,non-neg-raising,incompatible,compatible,compatible,incompatible,compatible,compatible,typically,compatible,compatible,focus sensitive,undecided,N/A,N/A,N/A,N/A,N/A,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,de required,unacceptable,unacceptable,unacceptable,unacceptable
French,fra001,être d'accord avec qqun,agree with someone (indirect object) [stative: to be in agreement (rather than to reach agreement)],doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not focus sensitive,undecided,always belief-implying,undecided,neither,always Q-to-P distributive,always P-to-Q distributive,?,unacceptable,sur required,sur required,sur required,sur required,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
