consultantID,language,predicate,English translation,predicate class,veridicality/anti-veridicality wrt declaratives,conjoined with negation of the comp,conjoined with the complement,Complement projection/reversion through negation,neg-raising,Likelihood,Unlikelihood,Equal likelihood,Certainty,Counter-certainty,Uncertainty,Preference,Opposition,Indifference,focus sensitivity wrt decl,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity ,P-to-Q distributivity ,finite declarative clause: indicative,finite declarative clause: subjunctive,Finite d-linked constituent interrogative clause,finite non-d-linked constituent interrogative clause,finite polar interrogative clause,finite alternative interrogative clause,Finite non-d-linked constituent interrogative clause with main clause syntax,non-finite declarative clause without subject,non-finite d-linked constituent interrogative without subj,non-finite non-d-linked constituent interrogative without subj,non-finite polar int without subj,non-finite alt int without subj,concealed q,Intransitive use
pol001,Polish,proponować,propose,directive,neither,neither,neither,neither,0,compatible,compatible,compatible,incompatible,incompatible,always,typically implies,compatible,compatible,1,0,N/A,N/A,N/A,N/A,N/A,1*,1,0,0,0,0,0,1,0,0,0,0,1,0
pol001,Polish,zgadzać się (z kimś),agree with someone (indirect object) [stative: to be in agreement (rather than to reach agreement)],doxastic,neither,neither,neither,neither,undecided,typically implies,compatible,compatible,compatible,typically incompatible,compatible,compatibile,compatibile,compatibile,0,0,N/A,N/A,N/A,N/A,N/A,1,1,0*,0*,0*,0*,0*,1,0,0,0,0,0,0
pol001,Polish,założyć,assume,doxastic,neither,neither,neither,neither,0,compatible,compatible,compatible,incompatible,compatible,typically imples,compatible,compatible,compatible,1,0,N/A,N/A,N/A,N/A,N/A,1,0,0,0,0,0,0,0,0,0,0,0,0,0
pol001,Polish,być pewnym,be certain,doxastic,neither,neither,neither,neither,0,always,incompatible,incompatible,always,incomatible,incompatible,compatible,compatible,compatible,0,0,N/A,N/A,N/A,N/A,N/A,1,0,0,0,0,0,0,0,0,0,0,0,0,0
pol001,Polish,być przekonanym,be convinced,doxastic,neither,neither,neither,neither,0,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,0,0,N/A,N/A,N/A,N/A,N/A,1,0,0,0,0,0,0,0,0*,0*,0*,0*,0,0
pol001,Polish,być nieświadomym,be unaware,doxastic,veridical,contradictory,redundant,projective *,0*,incompatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,1,0,ignorance,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0
pol001,Polish,wierzyć,believe,doxastic,neither,neither,neither,neither,1,typically implies,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,0,1*,N/A,N/A,N/A,N/A,N/A,1,0,0,0,0,0,0,0,0,0,0,0,0,0
pol001,Polish,spodziewać się,expect,doxastic,neither,neither,neither,typically projective,0*,always,incompatible,incompatible,compatible,incompatible,compatible,compatible,compatible,compatible,0,0,belief,0,typically 1,1,typically 1*,1,0,1,1,0,0,0,0,0,0,0,0,0,0
pol001,Polish,wiedzieć,know,doxastic,veridical,contradictory,redundant,projective *,0,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,0,0,belief,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0*,0
pol001,Polish,podejrzewać,suspect,doxastic,neither,neither,neither,neither,0,always,incompatible,incompatible,incompatible,incompatible,always,compatible,compatible,compatible,1,0,belief*,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
pol001,Polish,myśleć,think,doxastic,neither,neither,neither,neither,1,always,incompatible,incompatible,compatible,incompatible,compatible,compatible,compatible,compatible,0,0,N/A,N/A,N/A,N/A,N/A,1,0,0*,0*,0*,0*,0*,0,0*,0*,0*,0*,0,1
pol001,Polish,mieć rację,be right ,doxastic evaluative,veridical,contradictory,redundant,reversal,undecided,always,incompatible,incompatible,compatible,incompatible,compatible,compatible,compatible,compatible,0,0*,belief,0,1,1,1,1,1,1,1*,1*,1*,1*,0,0,0,0,0,0,0
pol001,Polish,mylić się,be wrong,doxastic evaluative,anti-veridical,redundant,contradictory,projective,undecided,always,incompatible,incompatible,compatible,incompatible,compatible,compatible,compatible,compatible,1,1*,belief,1*,0,1,1,1,0,1,1*,1*,1*,1*,0,0,0,0,0,0,0
pol001,Polish,zapomninać,forget,doxastic: change of state,veridical,contradictory,redundant,projective,0,incompatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,1,0,neither,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1*,0
pol001,Polish,dowiedzieć się,learn,doxastic: change of state,neither,neither,neither,neither,0,typically implies,compatible,compatible,compatible,typically incompatible,compatible,compatible,compatible,compatible,1,0,belief,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0
pol001,Polish,wątpić,doubt,dubitative,neither,neither,neither,neither,0,incompatible,always,incompatible,incompatible,compatible,typically implies,compatible,compatible,compatible,1,0,N/A*,N/A,N/A,N/A,N/A,1,1,0,0,1*,0,0,0,0,0,0,0,0,0*
pol001,Polish,być zadowolonym,be happy,emotive factive,veridical,contradictory,redundant,projective,0,always,incompatible,incompatible,always,incompatible,incompatible,always,incompatible,incompatible,1,1,belief,1,1,1,1,1,0,1*,1*,0,0*,0,0,0,0,0,0,1*,1
