consultant_id,predicate,English translation,predicate class,2.veridicality/anti-veridicality wrt declaratives,3.conjoined with negation of the comp,3'.conjoined with the complement,4.Complement projection/reversion through negation,5.neg-raising,6.Likelihood,Unlikelihood,6.Equal likelihood,6'.Certainty,Counter-certainty,6'.Uncertainty,6''.Preference,Opposition,6''.Indiference,7.focus sensitivity wrt decl,8.gradability wrt decl,9.ignorance/belief wrt int,10.gradability wrt int,11.Q-to-P veridicality,12.Q-to-P distributivity ,13.P-to-Q distributivity ,finite indicative declarative clause,1. finite subjunctive declarative clause,2. Finite d-linked constituent interrogative clause:,3. finite non-d-linked constituent interrogative clause,4. finite polar interrogative clause,5. finite alternative interrogative clause,6. Finite non-d-linked constituent interrogative clause with main clause syntax,7. finite polar interrogative clause with main clause syntax,8. non-finite declarative clause without subject,9. non-finite d-linked constituent interrogative without subj,10. non-finite non-d-linked constituent interrogative without subj,11. non-finite polar int without subj,12. non-finite alt int without subj,13. concealed q,Intransitive use
spa1,explicar,explain,communication,typically veridical,neither,neither,"*ind: always projective, sbjv: neither",*non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,Not focus sensitive,non-gradable,always belief implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,*,compatible,compatible,?,???,compatible,??,*,?,?,???,???,compatible,no
spa1,informar,inform,communication,typically veridical,neither*,redundant*,"*ind: always projective, sbjv: neither",*non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,always belief implying,non-gradable,typically Q-to-P veridical,typically Q-to-P distributive,typically P-to-Q distributive,compatible,*,compatible,?,compatible,compatible,??,*,*,?? ,???,???,???,compatible,no
spa1,contar,tell ,communication,typically veridical,neither*,redundant*,typically projective,non-neg raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,Not focus sensitive,non-gradable,always belief implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,*,?,compatible,?,??,??,*,*,?,*,*,??,compatible,no
spa1,susurrar,whisper,communication: manner of saying,typically veridical,neither,neither,*neither,non-neg raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,Not focus sensitive,non-gradable,always belief implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,*,??,compatible,???,*,compatible,*,???,compatible,?,*,*,?,no
spa1,escribir,write,communication: manner of saying,typically veridical,neither,neither,"*ind: typically projective, sbjv: neither",non-neg raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,Not focus sensitive,non-gradable,always belief implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,*,compatible,compatible,compatible,?,?,*,*,?,compatible,???,???,compatible,yes
spa1,decidir,decide,decision,neither,neither,neither,neither,non-neg raising,typically,compatible/incompatible*,compatible,typically,incompatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,typically belief implying,non-gradable,neither*,always Q-to-P distributive,always P-to-Q distributive,compatible,*,compatible,compatible,compatible,compatible,compatible,*,compatible,compatible,compatible,?,compatible,compatible,no
spa1,exigir,demand,directive,neither,neither,neither,neither,non-neg raising,compatible,compatible,compatible,compatible,compatible,compatible,always,incompatible,incompatible,focus sensitive,non-gradable,N/A,N/A,N/A,N/A,N/A,*,compatible,*,*,*,*,*,*,compatible,*,*,*,*,*,no
spa1,ordenar,order,directive,neither,neither,neither,neither,non-neg raising,compatible,typically,compatible,compatible,compatible,compatible,always,incompatible,incompatible,focus sensitive,non-gradable,N/A,N/A,N/A,N/A,N/A,*,compatible,*,*,*,*,*,*,compatible,?,??,*,*,*,no
spa1,proponer,propose,directive,neither,neither,neither,neither,non-neg raising,compatible,compatible,compatible,compatible,compatible,typically,typically,incompatible,incompatible,focus sensitive,non-gradable,N/A,N/A,N/A,N/A,N/A,*,compatible,*,*,*,*,*,*,compatible,compatible,?,*,*,???,no
spa1,estar de acuerdo (en),agree with each other (indirect object) [stative: to be in agreement (rather than to reach agreement)],doxastic,neither,neither,neither,*neither,*non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not focus sensitive,gradable,always belief implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,compatible,?,??,compatible,?,?,*,compatible,?,?,??,???,?,yes
spa1,suponer,assume,doxastic,typically veridical,neither,neither,neither*,non-neg raising,typically,incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,always belief implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,*,?,??,*,*,???,*,*,*,*,*,*,compatible,no
spa1,estar seguro (de),be certain,doxastic,typically veridical,neither,neither,*neither,*non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus sensitive,gradable,always belief implying,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,*,compatible,compatible,compatible,?,compatible,*,??,compatible,compatible,?,?,?,no
spa1,estar convencido (de),be convinced,doxastic,typically veridical,neither,neither,*ind: typically projective sbjv: neither,*non-neg raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus sensitive,gradable,always belief implying,undecided,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,*,compatible,?,*,*,?,*,??,compatible,compatible,???,*,compatible,no
spa1,desconocer,be unaware,doxastic,always veridical,contradictory,redundant,always projective,non-neg raising,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,always ignorance implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,?,compatible,compatible,compatible,compatible,compatible,??,???,?,??,???,???,compatible,no
spa1,creer,believe,doxastic,neither,neither,neither,neither,neg-raising (see notes),always,incompatible,incompatible,compatible,incompatible,typically,compatible,compatible,compatible,not focus sensitive,non-gradable,N/A,N/A,N/A,N/A,N/A,compatible,*,*,*,*,*,*,*,??,*,*,*,*,*,no
spa1,N/A,expect,doxastic,,,,,,,,,,,,,,,,,,,,,,compatible,*,,,,,,,,,,,,,
spa1,saber,know,doxastic,always veridical,contradictory,redundant,always projective,non-neg raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not focus sensitive,non-gradable,always belief implying,non gradable*,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributivity,compatible,*,compatible,compatible,?,compatible,compatible,*,compatible,compatible,compatible,???,??,compatible,no
spa1,sospechar,suspect,doxastic,neither,neither,neither,*ind: typically projective/subj: neither,non-neg raising,always,incompatible,incompatible,incompatible,incompatible,always,compatible,compatible,compatible,focus sensitive,gradable,always belief implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,*,compatible,compatible,*,*,*,*,??,*,*,*,*,*,no
spa1,pensar,think,doxastic,neither,neither,neither,ind: typically projective sbjv: neither,"ind: non-neg-raising, sbjv: neg-raising",always,incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,NA/typically ignorance,NA/non gradable,NA/neither,NA/Q-to-P non-distributive,NA/P-to-Q non-distributive,compatible,*,*,*,*,*,*,???,compatible,compatible,?,?,?,???,no
spa1,tener razón,be right ,doxastic evaluative,always veridical,contradictory,redundant,always reversive,undecided*,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus sensitive,gradable,always belief implying,undecided,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,*,?,??,compatible,?,compatible,*,?,compatible,?,*,*,compatible,yes
spa1,equivocarse (en),be wrong,doxastic evaluative,always anti-veridical,redundant,contradictory,always projective,undecided*,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus sensitive,undecided,typically belief implying,gradable,Q-to-P anti-veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,*,compatible,compatible,?,??,*,*,??,compatible,?,*,*,?,yes
spa1,olvidarse (de),forget,doxastic: change of state,always veridical,contradictory,redundant,always projective,non-neg raising,compatible,compatible,compatible,incompatible,compatible,typically,compatible,compatible,compatible,focus sensitive,non-gradable,neutral between belief and ignorance,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributivity,compatible,*,compatible,compatible,compatible,compatible,compatible,*,compatible,?,?,???,??,compatible,no
spa1,aprender,learn,doxastic: change of state,typically veridical,contradictory,redundant,typically projective,non-neg raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus sensitive,non-gradable,always belief implying,non-gradable*,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,*,compatible,?,??,??,compatible,*,compatible,?,?,*,*,compatible,no
spa1,dudar,doubt,dubitative,neither,neither,neither,neither,neg-raising,incompatible,typically,compatible,incompatible,typically,compatible,compatible,compatible,compatible,focus sensitive,gradable,neutral between belief and ignorance,gradable,Q-to-P anti-veridical,Q-to-P non-distributive,P-to-Q non-distributive,compatible,*,??,???,compatible,?,??,??,??,?,?,compatible,compatible,???,no
spa1,estar contento (con),be happy,emotive factive,always veridical,contradictory,redundant,typically projective,non-neg raising,always,incompatible,incompatible,always,incompatible,incompatible,always,incompatible,incompatible,focus sensitive,gradable,always belief implying,gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,*,compatible,compatible,?,*,*,???,*,compatible,?,?,*,*,compatible,yes
spa1,estar sorprendido,be surprised,emotive factive,always veridical,contradictory,redundant,typically projective,non-neg raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus sensitive,gradable,always belief implying,gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,*,compatible,?,compatible,*,*,*,*,compatible,*,*,*,*,compatible,no
spa1,lamentar,regret,emotive factive,always veridical,contradictory,redundant,typically projective,non-neg raising,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,focus sensitive,gradable,always belief impliying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,*,compatible,*,*,*,*,*,*,??,*,*,*,*,*,no
spa1,preguntar,ask,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,typically ignorance-implying,non-gradable,N/A,N/A,N/A,compatible,*,compatible,compatible,compatible,compatible,compatible,?,*,compatible,compatible,?,?,compatible,no
spa1,tener curiosidad (por),be curious,inquisitive,typically veridical,neither,neither,typically projective,non-neg raising,typically,incompatible,compatible,typically,incompatible,compatible,compatible,compatible,compatible,Not focus sensitive,gradable,always ignorance-implying,gradable,neither,Q-to-P non-distributive,P-to-Q non-distributive,*,compatible,?,??,??,??,???,*,compatible,???,???,*,*,?,no
spa1,indagar (sobre),inquire,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,typically ignorance-implying,gradable,N/A,N/A,N/A,*,???,compatible,compatible,compatible,?,??,*,???,?,?,compatible,compatible,compatible,no
spa1,investigar,investigate,inquisitive,always veridical,contradictory,redundant,always projective,non-neg raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,undecided,typically ignorance-implying,undecided,neither,Q-to-P non-distributive,P-to-Q non-distributive,compatible,compatible,compatible,compatible,compatible,?,??,*,???,?,??,compatible,compatible,compatible,no
spa1,preguntarse,wonder,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,typically ignorance-implying,non-gradable,N/A,N/A,N/A,compatible,*,compatible,compatible,compatible,compatible,compatible,?,*,compatible,compatible,compatible,compatible,compatible,no
spa1,ver,see,perception,always veridical,Typically contradictory*,redundant,ind: typically projective / sbjv: typically reversive,ind: non-neg raising/ sbjv: neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus sensitive,non-gradable,typically belief implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,P-to-Q distributive,compatible,*,compatible,?,compatible,?,*,*,*(NOTE),??,??,*,*,?,no
spa1,importar (algo a alguien),care,predicates of relevance,typically veridical,contradicotry,redundant,typically projective,non-neg raising,typically,compatible,compatible,typically,compatible,compatible,typically,compatible,incompatible,focus sensitive,gradable,typically ignorance-implying,gradable,neither,typically Q-to-P non-distributive,typically P-to-Q non-distributive,*,compatible,??,???,?,?,???,*,?,?,??,*,*,*,no
spa1,demostrar,prove,ratification,always veridical,contradictory,redundant,ind: typically projective/ sbjv: neither,ind: non-neg raising/ sbjv: non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus sensitive,non-gradable,always belief implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,*,?,??,?,?,*,*,compatible,*,*,*,*,compatible,no
spa1,decir,say,communication,typically veridical,neither,neither,"ind: typically projective, sbjv: neither",non-neg raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,N/A,N/A,N/A,N/A,N/A,compatible,*,??,???,compatible,?,???,*,compatible,compatible,compatible,*,??,compatible,no
spa1,asumir,assume,doxastic evaluative,typically veridical,neither,neither,*ind: always projective/ sbjv: always projective,non-neg raising,always,incompatible,incompatible,always,incompatible,incompatible,typically,compatible,compatible,focus sensitive,non-gradable,always belief implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,*,compatible,?,*,*,??,*,???,?,??,*,*,compatible,no
spa1,preveer,expect/foresee,doxastic,neither,neither,neither,neither,non-neg raising,always,incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,always belief implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,compatible,compatible,compatible,??,??,???,*,?,compatible,?,???,???,compatible,no
spa1,me intriga que,be intrigued,,always veridical,contradictory,redundant,always projective,non-neg raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus sensitive,gradable,ignorance implying,gradable,Q-to-P anti-veridical,always Q-to-P non-distributive,P-to-Q non-distributive,*,compatible,??,??,???,???,,*,?,?,?,??,?,compatible,no
