consultant_id,predicate,English translation,predicate class,veridicality/anti-veridicality wrt declaratives,conjoined with negation of the comp,conjoined with the complement,Complement projection/reversion through negation,neg-raising,Likelihood,Unlikelihood,Equal likelihood,Certainty,Counter-certainty,Uncertainty,Preference,Opposition,Indifference,focus sensitivity  ,gradability wrt decl,belief/ignorance wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity ,P-to-Q distributivity ,finite declarative clause,finite d-linked constituent interrogative clause,finite non-d-linked constituent interrogative clause,finite polar interrogative clause,finite alternative interrogative clause,non-finite declarative clause without subject,concealed q,content DP,Intransitive use
swe1,berätta,tell ,communication,typically veridical,neither,neither,typically projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive*,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,yes,yes,no,yes,yes*,not having an intransitive use
swe1,viska,whisper,communication: manner of saying,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,yes*,yes*,no,yes,yes*,having an intransitive use
swe1,skriva,write,communication: manner of saying,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,yes*,yes*,no,yes,yes*,having an intransitive use
swe1,bestämma,decide,decision,typically veridical,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,typically,compatible,compatible,focus sensitive,non-gradable,always belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,yes,yes,yes*,yes,yes*,having an intransitive use
swe1,kräva,demand,directive,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,typically,compatible,compatible,focus sensitive,gradable*,N/A,N/A,N/A,N/A,N/A,yes,no,no,no,no,yes*,no,no,not having an intransitive use
swe1,beordra,order,directive,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,typically,compatible,compatible,focus sensitive,non-gradable,N/A,N/A,N/A,N/A,N/A,yes,no,no,no,no,yes*,no,no,not having an intransitive use
swe1,föreslå,propose,directive,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,typically,typically,compatible,compatible,focus sensitive,non-gradable,N/A,N/A,N/A,N/A,N/A,yes,no,no,no,no,no,yes,yes,not having an intransitive use
swe1,hålla med någon,agree with someone (indirect object) [stative: to be in agreement (rather than to reach agreement)],doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus sensitive,gradable*,always belief-implying,gradable*,neither,always Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,yes,yes,no,yes,yes,U
swe1,anta,assume,doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,incompatible,incompatible,always,compatible,compatible,compatible,focus sensitive,non-gradable,N/A,N/A,N/A,N/A,N/A,yes,no,no,no,no,no,no,no,not having an intransitive use
swe1,vara säker,be certain,doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not focus sensitive,gradable*,always belief-implying,gradable*,neither,always Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,yes,yes,no,yes,yes,not having an intransitive use
swe1,vara övertygad,be convinced,doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not focus sensitive,gradable,always belief-implying,gradable,neither,always Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,yes,yes,yes*,yes,yes*,not having an intransitive use
swe1,vara omedveden,be unaware,doxastic,always veridical,contradictory,redundant,always projective,non-neg-raising,incompatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,U*,neutral,U*,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,yes,yes,no,yes,yes,not having an intransitive use
swe1,tro,believe,doxastic,neither,neither,neither,Without preposition på: neither. With preposition på: typically projective,typically neg-raising,always,incompatible,incompatible,Without på: incompatible. With på: typically,Without på: incompatible. With på: incompatible,Without på: always. With på: compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,N/A,N/A,N/A,N/A,N/A,yes,no,no,no,no,yes*,no,yes,not having an intransitive use
swe1,förvänta sig,expect,doxastic,neither,neither,neither,neither* (past tense: typically projective),typically neg-raising,always,incompatible,incompatible,incompatible,incompatible,always,compatible,compatible,compatible,focus sensitive,gradable,N/A,N/A,N/A,N/A,N/A,yes,no,no,no,no,yes,yes,yes,not having an intransitive use
