consultant_id,Italian Predicate,English translation,predicate class,veridicality/anti-veridicality wrt declaratives,conjoined with negation of the comp,conjoined with the complement,Complement projection/reversion through negation,neg-raising,Likelihood,Unlikelihood,Equal likelihood,Certainty,Counter-certainty,Uncertainty,Preference,Opposition,Indifference,focus sensitivity wrt decl,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity ,P-to-Q distributivity ,1. finite declarative clause,"2. Finite d-linked constituent interrogative clause:
",3. finite non-d-linked constituent interrogative clause,4. finite polar interrogative clause,5. finite alternative interrogative clause,8. non-finite declarative clause without subject,9. non-finite d-linked constituent interrogative without subj,10. non-finite non-d-linked constituent interrogative without subj,11. non-finite polar int without subj,12. non-finite alt int without subj,13. concealed q,Intransitive use
ita1,accettare,accept,assessment,typically veridical ,neither,redundant,typically projective ,non-neg-raising,typically,incompatible,compatible,typically,incompatible,compatible,compatible,compatible,compatible,focus-sensitive,undecided *** ,not applicable,not applicable,not applicable,not applicable,not applicable,yes,no,no,no,no,yes,no,no,no,no,yes ,no intransitive use 
ita1,negare,deny,assessment,neither,neither,neither,neither,non-neg-raising *** ,compatible,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,focus-sensitive,gradable,not applicable,not applicable,not applicable,not applicable ,not applicable,yes,no,no,no,no,yes,no,no,no,no,no,no intransitive use 
ita1,sperare,hope,bouletic,neither,neither,neither,neither,non-neg-raising,compatible,compatible,typically,incompatible,incompatible,always,always,incompatible,incompatible,focus-sensitive,gradable,not applicable,not applicable,not applicable,not applicable ,not applicable,yes,no,no,no,no,yes,no,no,no,no,no,no intransitive use 
ita1,pregare,pray,bouletic,neither,neither,neither,neither,non-neg-raising,compatible,compatible,typically,incompatible,incompatible,always,always,incompatible,incompatible,focus-sensitive,undecided *** ,not applicable,not applicable,not applicable,not applicable ,not applicable,yes,no,no,no,no,yes,no,no,no,no,no,"no intransitive use / unless ""pray"" in a religious sense"
ita1,preferire,prefer,bouletic,neither,neither,neither,neither,typically neg-raising,compatible,compatible,typically,incompatible,incompatible,always,always,incompatible,incompatible,focus-sensitive,gradable,not applicable,not applicable,not applicable,not applicable ,not applicable,yes,no,no,no  *** ,no,yes  ,no,no,no,no,no,no intransitive use 
ita1,volere,want ,bouletic,neither,neither,neither,neither,typically neg-raising,compatible,compatible,typically,incompatible,incompatible,always,always ,incompatible,incompatible,focus-sensitive,undecided *** ,not applicable,not applicable,not applicable,not applicable ,not applicable,yes,no,no,no,no,yes,no,no,no,no,no,no intransitive use 
ita1,essere preoccupat* / preoccuparsi ,be worried,bouletic: negative,neither***,neither,neither ,neither,non-neg-raising,typically,compatible,compatible,incompatible,incompatible,always,incompatible,always,incompatible,focus-sensitive,gradable,"neutral / typically belief implying (comment: to be worried, you need to be opposed, and to find something likely. If the thing is unlikely, you wouldn't be worried about it.",gradable,neither,"always Q-to-P distributive (you always seem to have an answer in mind---""worried what i should wear -> i'm worried that i'll have to wear high heels"")",always P-to-Q distributive,yes,yes,yes,no,no,yes,no,no,no,no,yes ,intransitive use
ita1,temere,fear,bouletic: negative,neither***,neither,neither,neither,non-neg-raising,typically,compatible,compatible,incompatible,incompatible,always,incompatible,always,incompatible,focus-sensitive,gradable,not applicable,not applicable,not applicable,not applicable ,not applicable,yes,no,no ***,no,no,yes,no,no,no,no,yes?,no intransitive use 
ita1,annunciare,announce,communication,typically veridical*** ,neither,redundant,neither,non-neg-raising,typically,compatible,compatible ,typically,compatible,compatible,compatible,compatible,typically,not-focus-sensitive,non gradable,always belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,yes,yes,?,???,???,yes,yes,yes,no,no ,yes ,no intransitive use 
ita1,argomentare ,argue,communication,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,no,no,no,no,no,no,no,no,no,no,no,not applicable
