language,consultantID,orthography,transliteration,English translation,predicate class,veridicality wrt decl,conjoined with negation of complement,conjoined with the complement,projection through negation: bu,projection through negation: mei,neg-raising: bu,neg-raising: mei,Likelihood,Unlikelihood,Equal likelihood,Certainty,Counter-certainty,Uncertainty,Preference,Opposition,Indifference,focus sensitivity wrt decl,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,veridical Q-to-P,distributivity Q-to-P,distributivity P-to-Q,decl. clause without subj,decl. clause with subj,d-linked constituent interrogative without subj,d-linked constituent interrogative with subj,non-d-linked constituent interrogative without subj,non-d-linked constituent interrogative with subj,polar int without subj,polar int with subj,alt int without subj,alt int with subj,concealed question,intransitive use
Mandarin Chinese,cmn001,大喊,dahan,shout,communication: manner of saying,neither,neither,neither,N/A,neither,N/A,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,typically,compatible,compatible,0,non-gradable,typically belief-implying,non-gradable,typically veridical,always distributive,always-distributive,shuo required,shuo required,1,1,1,1,0,0,0,0,1,1
Mandarin Chinese,cmn001,写下,xiexia,write,communication: manner of saying,neither,neither,neither,N/A,neither,N/A,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,0,non-gradable,typically belief-implying,non-gradable,typically veridical,always distributive,always-distributive,shuo required,shuo required,1,1,1,1,1,1,1,1,1,0
Mandarin Chinese,cmn001,决定,jueding,decide,decision,neither,neither,neither,N/A,neither,N/A,non-neg-raising,typically,compatible,compatible,compatible,compatible,typically,typically,compatible,compatible,1,non-gradable,typically belief-implying,non-gradable,typically veridical,always distributive,always-distributive,1,1,1,1,1,1,1,1,1,1,1,0
Mandarin Chinese,cmn001,要求,yaoqiu,demand,directive,neither,neither,neither,neither,neither,non-neg-raising,non-neg-raising,compatible,compatible,compatible,compatible,compatible,typically,typically,compatible,compatible,1,undecided,typically belief-implying,non-gradable,non-veridical,always distributive,always-distributive,1,1,1,1,1,1,1,1,1,1,0,0
Mandarin Chinese,cmn001,命令,mingling,order,directive,neither,neither,neither,neither,neither,non-neg-raising,non-neg-raising,compatible,compatible,compatible,compatible,compatible,typically,typically,compatible,compatible,1,non-gradable,typically belief-implying,non-gradable,non-veridical,always distributive,always-distributive,1,1,1,1,1,1,polarity sensitive,polarity sensitive,polarity sensitive,polarity sensitive,0,0
Mandarin Chinese,cmn001,提议,tiyi,propose,directive,neither,neither,neither,neither,neither,typically neg-raising,non-neg-raising,compatible,compatible,compatible,compatible,compatible,typically,typically,compatible,compatible,1,non-gradable,typically ignorance-implying,non-gradable,non-veridical,always distributive,always-distributive,1,1,1,1,1,1,1,1,1,1,0,1
Mandarin Chinese,cmn001,同意,tongyi,agree with X [stative: to be in agreement (rather than to reach agreement)],doxastic,neither,neither,redundant,neither,neither,always neg-raising,typically neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,0,undecided,always belief-implying,undecided,typically veridical,always distributive,always-distributive,1,1,1,1,1,1,0,0,0,0,0,0
Mandarin Chinese,cmn001,假定,jiading,assume,doxastic,neither,neither,neither,neither,neither,non-neg-raising,non-neg-raising,compatible,compatible,compatible,incompatible,compatible,typically,compatible,compatible,compatible,0,non-gradable,typically belief-implying,non-gradable,non-veridical,always distributive,always-distributive,1,1,1,1,1,1,0,0,0,0,0,0
Mandarin Chinese,cmn001,确定,queding,be certain,doxastic,neither,neither,neither,N/A,N/A,N/A,N/A,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,0,gradable,always belief-implying,gradable,typically veridical,always distributive,always-distributive,1,1,1,1,1,1,polarity sensitive,polarity sensitive,polarity sensitive,polarity sensitive,0,0
Mandarin Chinese,cmn001,坚信,jianxin,be convinced,doxastic,neither,neither,neither,neither,N/A,non-neg-raising,N/A,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,0,gradable,N/A,N/A,N/A,N/A,N/A,0,1,0,0,0,0,0,0,0,0,0,0
Mandarin Chinese,cmn001,没意识到,meiyishidao,be unaware,doxastic,always veridical,contraditory,redundant,"always projective
(not direct combinition)",N/A,"non-neg-raising
(not direct combinition)",N/A,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,1,undecided,typically ignorance-implying,undecided,always veridical,always distributive,always-distributive,1,1,1,1,1,1,1,1,1,1,1,0
Mandarin Chinese,cmn001,相信,xiangxin,believe,doxastic,neither,neither,neither,neither,neither,always neg-raising,typically neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,0,gradable,N/A,N/A,N/A,N/A,N/A,0,1,1,1,1,1,0,0,0,0,0,0
Mandarin Chinese,cmn001,期望,qiwang,expect,doxastic,neither,neither,neither,neither,neither,non-neg-raising,non-neg-raising,compatible,compatible,compatible,incompatible,compatible,typically,always,incompatible,incompatible,1,gradable,N/A,N/A,N/A,N/A,N/A,1,1,0,0,0,0,polarity sensitive (restricted),polarity sensitive (restricted),0,0,0,0
Mandarin Chinese,cmn001,知道,zhidao,know,doxastic,always veridical,contraditory,redundant,always projective,N/A,non-neg-raising,N/A,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,0,gradable,always belief-implying,gradable,always veridical,always distributive,always-distributive,1,1,1,1,1,1,1,1,1,1,1,0
Mandarin Chinese,cmn001,怀疑,huaiyi,suspect,doxastic,neither,neither,neither,neither,neither,non-neg-raising,non-neg-raising,typically,compatible,compatible,incompatible,incompatible,always,compatible,compatible,compatible,1,gradable,N/A,N/A,N/A,N/A,N/A,1,1,0,0,0,0,1,1,1,1,0,0
Mandarin Chinese,cmn001,认为,renwei,think,doxastic,neither,neither,neither,neither,neither,always neg-raising,typically neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,0,undecided,N/A,N/A,N/A,N/A,N/A,0,1,0,0,0,0,1 (restricted),1 (restricted),0,0,0,0
Mandarin Chinese,cmn001,N/A,,be right ,doxastic evaluative,-,-,-,-,-,-,-,,,,,,,,,,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
Mandarin Chinese,cmn001,N/A,,be wrong,doxastic evaluative,-,-,-,-,-,-,-,,,,,,,,,,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
Mandarin Chinese,cmn001,忘记,wangji,forget,doxastic: change of state,always veridical,contradictory,redundant,typically projective,typically projective,non-neg-raising,non-neg-raising,compatible,compatible,compatible,incompatible,compatible,typically,compatible,compatible,compatible,1,non-gradable,typically ignorance-implying,non-gradable,always veridical,always distributive,always-distributive,1,1,1,1,1,1,1,1,1,1,1,0
Mandarin Chinese,cmn001,得知,dezih,learn,doxastic: change of state,neither,neither,neither,N/A,neither,N/A,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,0,non-gradable,typically belief-implying,non-gradable,typically veridical,always distributive,always-distributive,1,1,1,1,1,1,1,1,1,1,1,0
Mandarin Chinese,cmn001,怀疑,huaiyi,doubt,dubitative,N/A,N/A,N/A,neither,neither,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,gradable (where applicable),N/A,N/A,N/A,N/A,N/A,0,polarity sensitive,0,0,0,0,polarity sensitive (restricted),polarity sensitive (restricted),0,0,0,0
Mandarin Chinese,cmn001,高兴,gaoxing,be happy,emotive factive,typically veridical,neither,neither,typically projective,N/A,non-neg-raising,N/A,always,incompatible,incompatible,always,incompatible,incompatible,always,incompatible,incompatible,1,gradable,N/A,N/A,N/A,N/A,N/A,1,1,0,0,0,0,0,0,0,0,0,1
Mandarin Chinese,cmn001,惊讶,jingya,be surprised,emotive factive,typically veridical,neither,neither,typically projective,N/A,non-neg-raising,N/A,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,1,gradable,N/A,N/A,N/A,N/A,N/A,0,1,0,0,0,0,0,0,0,0,0,0
Mandarin Chinese,cmn001,后悔,houhui,regret,emotive factive,typically veridical,neither,neither,typically projective,typically projective,non-neg-raising,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,1,gradable,N/A,N/A,N/A,N/A,N/A,1,1,0,0,0,0,0,0,0,0,0,0
Mandarin Chinese,cmn001,问,wen,ask,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,typically ignorance-implying,non-gradable,N/A,N/A,N/A,0,0,1,1,1,1,1,1,1,1,1,0
Mandarin Chinese,cmn001,好奇,haoqi,be curious,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,always ignorance-implying,gradable,N/A,N/A,N/A,0,0,1,1,1,1,1,1,1,1,1,0
Mandarin Chinese,cmn001,询问,xunwen,inquire,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,always ignorance-implying,non-gradable,N/A,N/A,N/A,0,0,1,1,1,1,1,1,1,1,1,0
Mandarin Chinese,cmn001,调查,diaocha,investigate,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,typically ignorance-implying,non-gradable,N/A,N/A,N/A,0,0,1,1,1,1,1,1,1,1,1,0
Mandarin Chinese,cmn001,想知道,xiangzhidao,wonder,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,always ignorance-implying,complex predicate,N/A,N/A,N/A,0,0,1,1,1,1,1,1,1,1,1,0
Mandarin Chinese,cmn001,看见,kanjian,see,perception,typically veridical,neither,neither,N/A,neither,N/A,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,0,non-gradable,typically belief-implying,non-gradable,typically veridical,always distributive,always-distributive,1,1,1,1,1,1,1,1,1,1,1,0
Mandarin Chinese,cmn001,关心,guanxin,care,predicates of relevance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,always ignorance-implying,gradable,N/A,N/A,N/A,0,0,1,1,1,1,1,1,1,1,1,0
Mandarin Chinese,cmn001,证明,zhengming,prove,ratification,neither,neither,neither,N/A,neither,N/A,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,0,non-gradable,typically belief-implying,non-gradable,typically veridical,always distributive,always-distributive,1,1,1,1,1,1,1,1,1,1,0,0
