language,predicate,English translation,predicate class,veridicality,conjoined with negation,conjoined with complement,projection through negation,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity,P-to-Q distributivity,P-to-Q distributivity,"Finite d-linked constituent interrogative clause:
",finite non-d-linked constituent interrogative clause,finite polar interrogative clause,finite alternative interrogative clause,Finite non-d-linked constituent interrogative clause with main clause syntax,finite polar interrogative clause with main clause syntax,non-finite declarative clause without subject,non-finite d-linked constituent interrogative without subj,non-finite non-d-linked constituent interrogative without subj,non-finite polar int without subj,non-finite alt int without subj,concealed q,P-to-Q distributivity
turkish,kabul et,accept,assessment,typically veridical,neither,neither,can be projective,non-neg-raising,typically,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable/undecided,typically belief implying,no/undecided,typically,always Q-to-P distributive,typically P-to-Q distributive,ok,ok-ish,ok-ish,ok-ish,ok-ish,*,*,ok,*`,*,*,*,ok,no
turkish,inkar et,deny,assessment,neither,neither,neither,can be projective,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable/undecided,typically belief implying,no/undecided,always Q-to-P veridical,always Q-to-P distributive,P-to-Q non-distributive,ok,ok-ish,ok-ish,ok-ish,ok-ish,*,*,*,*`,*,*,*,ok,no
turkish,um,hope,bouletic,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,incompatible,incompatible,always,always,incompatible,incompatible,focus sensitive,gradable*,ignorance**,yes/undecided*,neither*,Q-to-P non-distributive,P-to-Q non-distributive,ok,*,*,*,*,*,*,ok,*`,*,*,*,*,no
turkish,,pray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
turkish,dile,wish,bouletic,neither*,neither,slightly odd,neither,neg-raising-like,compatible,compatible,compatible,incompatible,incompatible,always,always,incompatible,incompatible,focus sensitive,gradable,,,,,,ok,*,*,*,*,*,*,ok,*`,*,*,*,*,no
turkish,tercih et,prefer,bouletic,neither,neither,neither,neither,neg-raising-like,compatible,compatible,compatible,compatible,compatible,compatible,always,incompatible,incompatible,focus sensitive,non-gradable/undecided,,,,,,ok,*,*,*,*,*,*,ok,*`,*,*,*,*,no
turkish,iste,want ,bouletic,typically anti-veridical*,neither,slightly odd,neither,neg-raising,compatible,compatible,compatible,compatible/dispreferred,compatible,typically,always,incompatible,incompatible,focus sensitive,gradable,,,,,,ok,*,*,*,*,*,*,ok,*`,*,*,*,*,no
turkish,endişelen,worry ,bouletic: negative,neither,neither,neither*,can be projective,non-neg-raising,compatible,compatible,compatible,compatible/dispreferred,incompatible,typically,incompatible,always,incompatible,focus sensitive,gradable,neutral*,gradable,neither*,typically Q-to-P distributive,always P-to-Q distributive,-mA and -DIK and diye ok,only -DIK,only -DIK,-DIK and perhaps also -mA nomiN/Alizations,only -DIK,diye ok,diye ok,ok,*`,*,?,*,ok,yes
turkish,,be worried,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
turkish,kork,fear,bouletic: negative,neither,neither,neither,neither,non-neg-raising,"-DIK: typically, -mA: compatible",compatible,compatible,incompatible,incompatible,always,incompatible,always,incompatible,focus sensitive,gradable,neutral*,gradable,neither,typically Q-to-P,always P-to-Q distributive,-mA and -DIK and diye ok,only -DIK,only -DIK,??,only -DIK,diye ok,diye ok,ok,*,*,?,*,ok,yes
