language,predicate,English translation,Predicate class,veridicality,conjoined with negation,conjoined with complement,projection through negation,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity,P-to-Q distributivity,P-to-Q distributivity,Finite declarative with subordinate clause syntax Konjunktiv I (present subjunctive),Finite declarative with subordinate clause syntax Konjunktiv II (past subjunctive),Finite declarative with main clause syntax Konjunktiv I (present subjunctive),Non-finite declarative clause without subject,Concealed statement (CS),Plain accusative DP (without preposition),P-to-Q distributivity,Concealed question,Finite non-d-linked constituent interrogative clause indicative mood,Finite non-d-linked constituent interrogative clause Konjunktiv I (present subjunctive),Finite non-d-linked constituent interrogative clause Konjunktiv II (past subjunctive),Finite d-linked constituent interrogative clause indicative mood,Finite d-linked constituent interrogative clause Konjunktiv I (present subjunctive),Finite d-linked constituent interrogative clause Konjunktiv II (past subjunctive),Finite polar interrogative clause indicative mood,Finite polar interrogative clause Konjunktiv I (present subjunctive),Finite polar interrogative clause Konjunktiv II (past subjunctive),Finite alternative interrogative clause indicative mood,Finite alternative interrogative clause Konjunktiv I (present subjunctive),Finite alternative interrogative clause Konjunktiv II (past subjunctive)
german,erzählen,tell ,communication,typically veridical,neither,typically redundant,can be projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,neutral,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,1,0,1,1,0,0,1,no,0,1,0,1,1,0,1,1,0,1,1,0,1
german,flüstern,whisper,communication: manner of saying,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-,-,-,-,-,-
german,schreiben,write,communication: manner of saying,typically veridical,neither,redundant,typically projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,neutral,non-gradable,,,,1,1,1,1,0,0,1,yes,0,1,0,1,1,0,1,1,0,1,1,0,1
german,entscheiden,decide,decision,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,compatible,incompatible,compatible,typically,compatible?,compatible,focus sensitive,non-gradable,neutral,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,1,0,0,0,1,1,0,no,0,1,0,1,1,0,1,1,0,1,1,0,1
german,verlangen,demand,directive,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,typically,compatible,compatible,focus sensitive,non-gradable,,,,,,1,0,0,0,1,1,1,no,,,,,,,,,,,,,
german,anordnen,order,directive,neither,?contradictory,?redundant,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,typically,compatible,compatible,focus sensitive,non-gradable,typically belief-implying,non-gradable,neither,typically Q-to-P distributive,always P-to-Q distributive,1,0,0,0,0,1,1,no,0,1,0,0,1,0,0,1,0,0,0,0,0
german,vorschlagen,propose,directive,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,1,0,no,,,,,,,,,,,,,
german,mit jemandem übereineinstimmen,agree with someone (indirect object) [stative: to be in agreement (rather than to reach agreement)],doxastic,neither,neither,neither,neither,undecided,always,incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,always belief-implying,non-gradable*,neither,always Q-to-P distributive,always P-to-Q distributive,1,1,1,0,0,0,0,no,0,1,0,1,1,0,1,0,0,0,1,0,1
german,annehmen,assume,doxastic,neither,neither,neither,neither,non-neg-raising,typically,incompatible,compatible,incompatible,incompatible,always,compatible,compatible,compatible,not focus sensitive,non-gradable,,,,,,1,0,1,0,0,0,0,no,,,,,,,,,,,,,
german,sich sicher sein,be certain,doxastic,neither,neither,neither,neither*,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus sensitive*,undecided,,,,,,1,0,1,0,1,1,0,no,,,,,,,,,,,,,
german,überzeugt sein,be convinced,doxastic,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,no,,,,,,,,,,,,,
german,sich nicht bewusst sein,be unaware,doxastic,typically veridical,contradictory,redundant,always projective,undecided,incompatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,always ignorance-implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,typically P-to-Q distributive,1,0,1,0,0,1,0,no,1,1,0,1,1,0,1,1,0,1,1,0,1
german,glauben,believe,doxastic,neither,neither,neither,neither,typically neg-raising,always,incompatible,incompatible,compatible,incompatible,typically,compatible,compatible,compatible,not focus sensitive,non-gradable,,,,,,1,0,1,1,1,0,1,no,,,,,,,,,,,,,
