language,predicate,English translation,predicate class,veridicality,conjoined with negation,conjoined with complement,projection through negation,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity,P-to-Q distributivity,P-to-Q distributivity,"2. Finite d-linked constituent interrogative clause:
",3. finite non-d-linked constituent interrogative clause,4. finite polar interrogative clause,5. finite alternative interrogative clause,8. non-finite declarative clause without subject,9. non-finite d-linked constituent interrogative without subj,10. non-finite non-d-linked constituent interrogative without subj,11. non-finite polar int without subj,12. non-finite alt int without subj,13. concealed q,P-to-Q distributivity
italian,raccontare,tell ,communication,typically veridical ,neither,redundant ***,typically projective ,non-neg-raising,typically,compatible,compatible ,typically,compatible,compatible,compatible,compatible,compatible,not-focus-sensitive,non gradable,always belief-implying,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,no,no,yes,no,no,no,no,yes,no intransitive use 
italian,sussurrare ,whisper,communication: manner of saying,neither***,neither,neither ,neither,non-neg-raising,typically,compatible,compatible ,typically,compatible,compatible,compatible,compatible,typically,not-focus-sensitive,non gradable,always belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,yes?,??,??,no,no,yes?,??,??,no,no,yes,intransitive use
italian,scrivere,write,communication: manner of saying,typically veridical ,neither,redundant *** ,typically projective ,non-neg-raising,typically,compatible,compatible ,typically,compatible,compatible,compatible,compatible,typically,not-focus-sensitive,non gradable,always belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,yes ,yes ,yes,yes ,yes,?,?,yes,no intransitive use 
italian,decidere,decide,decision,neither  ,neither,neither,neither,non-neg-raising,typically,compatible,compatible ,typically,incompatible,compatible,typically,compatible,compatible,focus-sensitive,non gradable,always belief-implying,non-gradable,typically Q-to-P veridical***,always Q-to-P distributive,always P-to-Q distributive ,yes,yes,yes,yes?,yes,yes,yes,yes,yes?,yes,yes,no intransitive use 
italian,esigere,demand,directive,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible ,compatible,compatible,compatible,always,incompatible,incompatible,focus-sensitive,gradable***,not applicable,not applicable,not applicable,not applicable ,not applicable,yes, no,no,no,no,yes,no,no,no,no,no,no intransitive use
italian,ordinare,order,directive,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible ,typically,compatible,compatible,compatible,incompatible,compatible,focus-sensitive,non gradable,non applicable,not applicable,not applicable,not applicable,not applicable,yes,no,no,no,no,yes,yes?,yes?,no,no,no,no intransitive use
italian,proporre,propose,directive,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible ,compatible,compatible,compatible,always,incompatible,incompatible,focus-sensitive,non gradable,not applicable,not applicable,not applicable,not applicable,not applicable,yes,no,no,no,no,yes,yes,yes,no,no,no,no intransitive use
italian,essere d'accordo (su),agree with someone (indirect object) [stative: to be in agreement (rather than to reach agreement)],doxastic,neither,neither,neither ,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not-focus-sensitive,gradable ,always belief-implying,gradable ,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive ,yes,yes,yes,no,??,yes,yes,yes,yes?,yes?,yes,intransitive use
italian,supporre ,assume,doxastic,neither,neither,neither,neither,always neg-raising,always,incompatible,incompatible ,compatible,incompatible,typically,compatible,compatible,compatible,not-focus-sensitive,non gradable,not applicable,not applicable,not applicable,not applicable,not applicable,yes,no,no,no,no,yes,no,no,no,no,no,no intransitive use 
italian,essere cert*,be certain,doxastic,typically veridical ,neither ,neither ,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus-sensitive,gradable,always belief-implying,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,no,no,yes,yes,yes,no,no,yes?,no intransitive use 
