language,predicate,English translation,predicate class,veridicality,conjoined with negation,conjoined with complement,projection through negation,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity,P-to-Q distributivity,P-to-Q distributivity,1. finite subjunctive declarative clause,2. Finite d-linked constituent interrogative clause:,3. finite non-d-linked constituent interrogative clause,4. finite polar interrogative clause,5. finite alternative interrogative clause,6. Finite non-d-linked constituent interrogative clause with main clause syntax,7. finite polar interrogative clause with main clause syntax,8. non-finite declarative clause without subject,9. non-finite d-linked constituent interrogative without subj,10. non-finite non-d-linked constituent interrogative without subj,11. non-finite polar int without subj,12. non-finite alt int without subj,13. concealed q,P-to-Q distributivity
spanish,informar,inform,communication,typically veridical,neither*,redundant*,"*ind: always projective, sbjv: neither",*non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,always belief implying,non-gradable,typically Q-to-P veridical,typically Q-to-P distributive,typically P-to-Q distributive,compatible,*,compatible,?,compatible,compatible,??,*,*,?? ,???,???,???,compatible,no
spanish,contar,tell ,communication,typically veridical,neither*,redundant*,typically projective,non-neg raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,Not focus sensitive,non-gradable,always belief implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,*,?,compatible,?,??,??,*,*,?,*,*,??,compatible,no
spanish,susurrar,whisper,communication: manner of saying,typically veridical,neither,neither,*neither,non-neg raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,Not focus sensitive,non-gradable,always belief implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,*,??,compatible,???,*,compatible,*,???,compatible,?,*,*,?,no
spanish,escribir,write,communication: manner of saying,typically veridical,neither,neither,"*ind: typically projective, sbjv: neither",non-neg raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,Not focus sensitive,non-gradable,always belief implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,*,compatible,compatible,compatible,?,?,*,*,?,compatible,???,???,compatible,yes
spanish,decidir,decide,decision,neither,neither,neither,neither,non-neg raising,typically,compatible/incompatible*,compatible,typically,incompatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,typically belief implying,non-gradable,neither*,always Q-to-P distributive,always P-to-Q distributive,compatible,*,compatible,compatible,compatible,compatible,compatible,*,compatible,compatible,compatible,?,compatible,compatible,no
spanish,exigir,demand,directive,neither,neither,neither,neither,non-neg raising,compatible,compatible,compatible,compatible,compatible,compatible,always,incompatible,incompatible,focus sensitive,non-gradable,,,,,,*,compatible,*,*,*,*,*,*,compatible,*,*,*,*,*,no
spanish,ordenar,order,directive,neither,neither,neither,neither,non-neg raising,compatible,typically,compatible,compatible,compatible,compatible,always,incompatible,incompatible,focus sensitive,non-gradable,,,,,,*,compatible,*,*,*,*,*,*,compatible,?,??,*,*,*,no
spanish,proponer,propose,directive,neither,neither,neither,neither,non-neg raising,compatible,compatible,compatible,compatible,compatible,typically,typically,incompatible,incompatible,focus sensitive,non-gradable,,,,,,*,compatible,*,*,*,*,*,*,compatible,compatible,?,*,*,???,no
spanish,estar de acuerdo (en),agree with each other (indirect object) [stative: to be in agreement (rather than to reach agreement)],doxastic,neither,neither,neither,*neither,*non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not focus sensitive,gradable,always belief implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,compatible,?,??,compatible,?,?,*,compatible,?,?,??,???,?,yes
spanish,suponer,assume,doxastic,typically veridical,neither,neither,neither*,non-neg raising,typically,incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,always belief implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,*,?,??,*,*,???,*,*,*,*,*,*,compatible,no
spanish,estar seguro (de),be certain,doxastic,typically veridical,neither,neither,*neither,*non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus sensitive,gradable,always belief implying,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,*,compatible,compatible,compatible,?,compatible,*,??,compatible,compatible,?,?,?,no
