language,predicate,English translation,predicate class,veridicality,conjoined with negation,conjoined with complement,projection through negation,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity,P-to-Q distributivity,P-to-Q distributivity,finite declarative clause: subjunctive,Finite d-linked constituent interrogative clause,finite non-d-linked constituent interrogative clause,finite polar interrogative clause,finite alternative interrogative clause,Finite non-d-linked constituent interrogative clause with main clause syntax,non-finite declarative clause without subject,non-finite d-linked constituent interrogative without subj,non-finite non-d-linked constituent interrogative without subj,non-finite polar int without subj,non-finite alt int without subj,concealed q,P-to-Q distributivity
Polish,akceptować,accept,assessment,veridical,contradictory,redundant,always projective,0,always,incompatibile,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,1.0,0,belief,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0
Polish,zaprzeczać,deny,assessment,neither,neither,neither,neither,0,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,0.0,0,,,,,,1,0,0,0*,0,0,0,0,0,0,0,0,0,0
Polish,mieć nadzieję,hope,bouletic,neither,neither,neither,neither,0*,compatible,compatible,compatible,incompatible,incompatible,always,always,incompatible,incompatible,1.0,0,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Polish,modlić się,pray,bouletic,neither,neither,neither,neither,0,compatible,typically,compatible,incompatible,incompatible,always,always,incompatible,incompatible,1.0,0*,,,,,,1*,1,0,0,0,0,0,0,0,0,0,0,0,1
Polish,woleć,prefer,bouletic,neither,neither,neither,,N/A but maybe 1,compatible,compatibile,compatibile,incompatibile,incompatible,always,always,incompatible,incompatible,1.0,0,,,,,,0,1,0,0,0,0,0*,1,0,0,0,0,0*,0
Polish,chcieć,want ,bouletic,neither,neither,neither,neither,1,compatible,compatible,compatible,compatible,incompatible,typically,always,incompatible,incompatible,1.0,1,,,,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Polish,martwić się,be worried,bouletic: negative,neither,neither,neither,always projective,0,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,1.0,1,typically ignorance,1,0*,0*,1,1,0,1,1,1,1,1,0,1*,1*,1*,1*,1,1
Polish,bać się,fear,bouletic: negative,neither,neither,neither,neither,0,compatible,compatible,compatible,incompatible,incompatible,always,incompatible,always,incompatible,1.0,1,ignorance,1,0,0,1,1,0*,1,1,1,1,0,1,0,0,0,0,0,1
Polish,oznajmiać,announce,communication,neither,neither,neither,neither,0,compatibile,compatibile,compatibile,compatibile,compatibile,compatibile,compatibile,compatibile,compatibile,0.0,0,neither,0,0,1,1,1,0,1,1,1,1,0,0*,0*,0*,0*,0*,0,0
Polish,spierać się,argue,communication,neither,neither,neither,neither,0,typically implies,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,1.0,0,neither,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1*,1*
